# F1A_VS_F1 (two zero-op saves, same session): C:\Users\BAIJUN~1\AppData\Local\Temp\drc-probe-e-_cuy5ho1/probe_e_F1a.brd vs probe_e_F1.brd
# size_a=5494892 size_b=5494892 diff_bytes=2226 ranges=1239
[144, 145]
[1032976, 1032976]
[1033044, 1033044]
[1033048, 1033048]
[1033116, 1033116]
[1033120, 1033120]
[1033188, 1033188]
[1033192, 1033192]
[1033260, 1033260]
[1033264, 1033264]
[1033332, 1033332]
[1033336, 1033336]
[1033404, 1033404]
[1033408, 1033408]
[1033444, 1033444]
[1033476, 1033477]
[1033480, 1033480]
[1033548, 1033548]
[1033552, 1033553]
[1033620, 1033620]
[1033624, 1033624]
[1033692, 1033692]
[1033696, 1033696]
[1033764, 1033764]
[1033768, 1033768]
[1033836, 1033836]
[1033840, 1033840]
[1033908, 1033908]
[1033912, 1033912]
[1033980, 1033980]
[1033984, 1033984]
[1034052, 1034052]
[1034056, 1034056]
[1034124, 1034124]
[1034128, 1034128]
[1034160, 1034160]
[1034196, 1034196]
[1034200, 1034200]
[1034232, 1034232]
[1034236, 1034236]
[1034268, 1034268]
[1034272, 1034272]
[1034340, 1034340]
[1034344, 1034344]
[1034412, 1034412]
[1034416, 1034416]
[1034484, 1034484]
[1034488, 1034488]
[1034520, 1034520]
[1034556, 1034556]
[1034560, 1034560]
[1034628, 1034628]
[1034632, 1034632]
[1034700, 1034700]
[1034704, 1034704]
[1034772, 1034772]
[1034776, 1034776]
[1034844, 1034844]
[1034848, 1034848]
[1034916, 1034916]
[1034920, 1034920]
[1034988, 1034988]
[1034992, 1034992]
[1035060, 1035060]
[1035064, 1035064]
[1035132, 1035132]
[1035136, 1035136]
[1035204, 1035204]
[1035208, 1035208]
[1035276, 1035276]
[1035280, 1035280]
[1035348, 1035348]
[1035352, 1035352]
[1035420, 1035420]
[1035424, 1035424]
[1035492, 1035492]
[1035496, 1035496]
[1035564, 1035564]
[1035568, 1035568]
[1035636, 1035636]
[1035640, 1035640]
[1035708, 1035708]
[1035712, 1035712]
[1035780, 1035780]
[1035784, 1035784]
[1035852, 1035852]
[1035856, 1035856]
[1035924, 1035924]
[1035928, 1035928]
[1035996, 1035996]
[1036000, 1036000]
[1036068, 1036068]
[1036072, 1036072]
[1036140, 1036140]
[1036144, 1036144]
[1036212, 1036212]
[1036216, 1036216]
[1036284, 1036284]
[1036288, 1036288]
[1036356, 1036356]
[1036360, 1036360]
[1036392, 1036392]
[1036428, 1036428]
[1036432, 1036432]
[1036500, 1036500]
[1036504, 1036504]
[1036572, 1036572]
[1036576, 1036576]
[1036644, 1036644]
[1036648, 1036648]
[1036716, 1036716]
[1036720, 1036720]
[2919696, 2919696]
[2919700, 2919700]
[2919704, 2919704]
[2919708, 2919708]
[2919712, 2919712]
[2919716, 2919716]
[2919720, 2919720]
[2920592, 2920592]
